state_code,district_code,level_name,statename,districtname,date,value,variable,graph_title
IND,,national,India,,2011-01-01,1210854977.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,1,district,Jammu & Kashmir,Kupwara,2011-01-01,870354.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,2,district,Jammu & Kashmir,Badgam,2011-01-01,753745.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,3,district,Jammu & Kashmir,Leh(Ladakh),2011-01-01,133487.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,4,district,Jammu & Kashmir,Kargil,2011-01-01,140802.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,5,district,Jammu & Kashmir,Punch,2011-01-01,476835.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,6,district,Jammu & Kashmir,Rajouri,2011-01-01,642415.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,7,district,Jammu & Kashmir,Kathua,2011-01-01,616435.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,8,district,Jammu & Kashmir,Baramula,2011-01-01,1008039.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,9,district,Jammu & Kashmir,Bandipore,2011-01-01,392232.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,10,district,Jammu & Kashmir,Srinagar,2011-01-01,1236829.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,11,district,Jammu & Kashmir,Ganderbal,2011-01-01,297446.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,12,district,Jammu & Kashmir,Pulwama,2011-01-01,560440.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,13,district,Jammu & Kashmir,Shupiyan,2011-01-01,266215.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,14,district,Jammu & Kashmir,Anantnag,2011-01-01,1078692.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,15,district,Jammu & Kashmir,Kulgam,2011-01-01,424483.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,16,district,Jammu & Kashmir,Doda,2011-01-01,409936.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,17,district,Jammu & Kashmir,Ramban,2011-01-01,283713.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
1,18,district,Jammu & Kashmir,Kishtwar,2011-01-01,230696.00,"sector : total; Caste : Total; Gender : Total","Population by Caste, Gender & Sector (Persons, Source: Census)"
